Family,System,n_attempted,n_success,success_rate,sim_time_mean,sim_time_sd,roll_rms_mean,roll_rms_sd,lambda_whole_trial_mean,conflict_exposure_pct,conflict_exposure_s,note
Appetitive,Neural,19,15,78.94736842105263,38.516333333333336,1.2026477825568422,0.5363533333333332,0.008631868601615486,0.9898668210770122,0.0,0.0,
Appetitive,FSM,15,15,100.0,38.964000000000006,1.7712651975353668,0.5255,0.0031112698372208216,0.9515353311135775,0.0,0.0,
Aversive,Neural,17,15,88.23529411764706,9.983866666666668,2.0697477097999704,1.3571199999999999,0.10602729334154172,0.925,0.0,0.0,
Aversive,FSM,15,15,100.0,8.323,1.077474949438114,1.82472,0.1119976737853663,0.7314814814814815,0.0,0.0,
Obstacle,Neural,15,15,100.0,15.493133333333333,2.5577986073097225,3.93136,8.92452036991718,0.9447058823529412,0.0,0.0,
Obstacle,FSM,15,15,100.0,12.435666666666666,1.0922123521651923,1.4991733333333335,0.08922166005080953,0.8110014104372355,0.0,0.0,
Complex,Neural,15,15,100.0,24.962133333333334,10.355363974718074,1.0343266666666666,0.3486325562664636,0.9756510809141445,1.6702853228090815,0.22666666666666654,
Complex,FSM,15,0,0.0,,,,,0.9424900674031081,4.725099359567852,6.133533333333334,
Inspection,Neural,20,17,85.0,51.61423529411765,11.961678317858693,1.301605882352941,0.07789194227441162,1.0,0.0,0.0,
Inspection,FSM,20,9,45.0,55.12566666666667,14.248503016886449,1.2698888888888888,0.13634635996807257,0.9851267765239152,0.0,0.0,
Rugged Terrain (C1),Neural,6,3,50.0,54.94,2.7236862276456644,1.827,0.03253951444013883,0.9085623678646935,0.0,0.0,"Neural restricted to noise_level_idx=0 (only noise-free condition available; FSM ignores noise entirely, see experiment_c_terrain.md §2). Neural N is small (C1=6, C2=3 attempts) vs. FSM's full pool -- verdict-rate differences (e.g. tipover) are not statistically conclusive at this sample size. Tswitch/Tresponse are NOT shown here: the two codebases use different Upitch thresholds, tchange offsets, and Tswitch formulas (experiment_c_terrain.md §1) and are not directly comparable without re-running with matched parameters."
Rugged Terrain (C1),FSM,25,15,60.0,55.422000000000004,8.556418409591714,1.7391599999999998,0.1403011228275336,0.8913355672570608,0.0,0.0,"Neural restricted to noise_level_idx=0 (only noise-free condition available; FSM ignores noise entirely, see experiment_c_terrain.md §2). Neural N is small (C1=6, C2=3 attempts) vs. FSM's full pool -- verdict-rate differences (e.g. tipover) are not statistically conclusive at this sample size. Tswitch/Tresponse are NOT shown here: the two codebases use different Upitch thresholds, tchange offsets, and Tswitch formulas (experiment_c_terrain.md §1) and are not directly comparable without re-running with matched parameters."
Inclined Slope (C2),Neural,3,3,100.0,77.01666666666667,1.2596913202138937,6.751133333333333,7.159699035729242,0.9963384081711313,0.0,0.0,"Neural restricted to noise_level_idx=0 (only noise-free condition available; FSM ignores noise entirely, see experiment_c_terrain.md §2). Neural N is small (C1=6, C2=3 attempts) vs. FSM's full pool -- verdict-rate differences (e.g. tipover) are not statistically conclusive at this sample size. Tswitch/Tresponse are NOT shown here: the two codebases use different Upitch thresholds, tchange offsets, and Tswitch formulas (experiment_c_terrain.md §1) and are not directly comparable without re-running with matched parameters."
Inclined Slope (C2),FSM,21,15,71.42857142857143,64.534,2.790227708748277,5.4295333333333335,8.209378808384686,0.9934174437739989,0.0,0.0,"Neural restricted to noise_level_idx=0 (only noise-free condition available; FSM ignores noise entirely, see experiment_c_terrain.md §2). Neural N is small (C1=6, C2=3 attempts) vs. FSM's full pool -- verdict-rate differences (e.g. tipover) are not statistically conclusive at this sample size. Tswitch/Tresponse are NOT shown here: the two codebases use different Upitch thresholds, tchange offsets, and Tswitch formulas (experiment_c_terrain.md §1) and are not directly comparable without re-running with matched parameters."
